contractor,total_projects,delayed_projects,flagged_demo_projects,avg_completion,avg_utilization,demo_risk_indicator
Contractor_001,14,1,4,68.50823049930864,0.6907142857142857,11
Contractor_002,14,4,2,64.26579794822926,0.6183571428571428,16
Contractor_003,19,3,2,66.10526315789474,0.6128947368421053,13
Contractor_004,17,4,5,58.96372729628935,0.6558235294117648,22
Contractor_005,17,3,1,69.58823529411765,0.6521176470588236,11
Contractor_006,21,1,0,73.87142857142857,0.6493333333333333,3
Contractor_007,19,2,2,67.21052631578948,0.6190526315789474,10
Contractor_008,10,3,1,72.2749274093965,0.6591,11
Contractor_009,23,5,2,54.901207124690224,0.5472608695652174,19
Contractor_010,16,1,0,65.0125,0.58925,3
Contractor_011,17,5,6,60.98644498850946,0.690764705882353,27
Contractor_012,21,4,4,64.51569620668984,0.6362380952380953,20
Contractor_013,16,3,2,62.775,0.59175,13
Contractor_014,10,0,1,73.25,0.6652,2
Contractor_015,17,4,1,74.33870268490641,0.6885294117647058,14
Contractor_016,14,3,0,60.83571428571429,0.6053571428571428,9
Contractor_017,14,0,1,67.67978545217578,0.6602857142857143,2
Contractor_018,19,3,0,76.16315789473684,0.6489473684210526,9
Contractor_019,28,7,3,65.57443795132379,0.6295000000000001,27
Contractor_020,11,2,1,71.58181818181818,0.648,8
Contractor_021,14,3,1,76.811794520625,0.7187142857142856,11
Contractor_022,9,1,0,61.5,0.5752222222222222,3
Contractor_023,15,4,1,66.2524973702012,0.6468,14
Contractor_024,20,3,2,74.569659326697,0.6774,13
Contractor_025,22,2,3,69.31533474121994,0.6753636363636364,12
Contractor_026,20,2,1,63.950336166850676,0.65385,8
Contractor_027,20,1,2,74.80819255004586,0.67195,7
Contractor_028,13,1,1,85.77692307692307,0.7196153846153847,5
Contractor_029,19,6,3,64.94763264673593,0.6366842105263157,24
Contractor_030,10,2,0,63.760000000000005,0.6134999999999999,6
Contractor_031,23,2,7,65.7695652173913,0.629,20
Contractor_032,18,1,2,69.42525741606522,0.6531666666666667,7
Contractor_033,18,2,0,70.96111111111111,0.6747222222222222,6
Contractor_034,16,2,3,64.82203779107695,0.6246875,12
Contractor_035,25,7,0,70.256,0.60076,21
Contractor_036,16,4,4,68.3201872107239,0.68575,20
Contractor_037,23,4,3,61.054745637364526,0.6361739130434783,18
Contractor_038,13,0,1,63.78886175084062,0.6406923076923078,2
Contractor_039,13,3,3,58.92000694784913,0.6709230769230768,15
Contractor_040,11,1,2,67.20292129143087,0.6151818181818182,7
Contractor_041,19,3,9,63.95128523850817,0.6685263157894736,27
Contractor_042,19,4,1,64.17290566630707,0.6181578947368421,14
Contractor_043,17,1,1,73.48823529411764,0.703764705882353,5
Contractor_044,19,5,2,65.07894736842105,0.626,19
Contractor_045,9,2,2,66.97777777777777,0.6327777777777778,10
Contractor_046,23,1,8,76.67826086956521,0.6991739130434782,19
Contractor_047,12,2,1,70.00131765200182,0.6294166666666666,8
Contractor_048,17,3,5,72.37721029077439,0.673235294117647,19
Contractor_049,15,3,3,77.07625841206223,0.7485333333333333,15
Contractor_050,15,1,4,66.85333333333332,0.623,11
Contractor_051,14,2,1,67.38492694230155,0.6265714285714286,8
Contractor_052,15,2,0,72.52,0.6640666666666667,6
Contractor_053,16,1,1,72.83503129485902,0.6565625,5
Contractor_054,14,1,2,65.19525112220626,0.6269285714285714,7
Contractor_055,19,0,7,77.96738411976668,0.7156315789473684,14
Contractor_056,18,2,1,76.34444444444445,0.7127222222222223,8
Contractor_057,21,8,4,65.93889785906387,0.6571904761904762,32
Contractor_058,10,4,1,75.9,0.6734,14
Contractor_059,13,4,0,74.1923076923077,0.6751538461538461,12
Contractor_060,20,5,0,74.235,0.63815,15
