document_id,project_id,document_type,document_date,amount,contractor,location,file_path,extracted_text,status
DOC00001,P00001,Sanction Letter,2025-01-08,552500.0,Different Contractor,Different Location,,Document for project P00001. Type: Sanction Letter. Amount: 552500.0. Contractor: Different Contractor. Location: Different Location.,In Progress
DOC00002,P00002,Utilization Certificate,2025-07-01,2316000.0,Contractor_043,"Tirupati, Andhra Pradesh",,"Document for project P00002. Type: Utilization Certificate. Amount: 2316000.0. Contractor: Contractor_043. Location: Tirupati, Andhra Pradesh.",In Progress
DOC00003,P00003,Completion Certificate,2026-01-29,1312000.0,Contractor_025,"Karimnagar, Telangana",,"Document for project P00003. Type: Completion Certificate. Amount: 1312000.0. Contractor: Contractor_025. Location: Karimnagar, Telangana.",In Progress
DOC00004,P00004,Inspection Report,2025-02-03,598000.0,Contractor_006,"Surat, Gujarat",,"Document for project P00004. Type: Inspection Report. Amount: 598000.0. Contractor: Contractor_006. Location: Surat, Gujarat.",In Progress
DOC00005,P00005,Sanction Letter,2025-11-15,867000.0,Contractor_029,"Malda, West Bengal",,"Document for project P00005. Type: Sanction Letter. Amount: 867000.0. Contractor: Contractor_029. Location: Malda, West Bengal.",In Progress
DOC00006,P00006,Utilization Certificate,2025-01-25,1003000.0,Contractor_034,"Dharwad, Karnataka",,"Document for project P00006. Type: Utilization Certificate. Amount: 1003000.0. Contractor: Contractor_034. Location: Dharwad, Karnataka.",Completed
DOC00007,P00007,Completion Certificate,2024-09-15,838000.0,Contractor_056,"Nizamabad, Telangana",,"Document for project P00007. Type: Completion Certificate. Amount: 838000.0. Contractor: Contractor_056. Location: Nizamabad, Telangana.",In Progress
DOC00008,P00008,Inspection Report,2025-04-18,1801000.0,Contractor_042,"Madurai, Tamil Nadu",,"Document for project P00008. Type: Inspection Report. Amount: 1801000.0. Contractor: Contractor_042. Location: Madurai, Tamil Nadu.",In Progress
DOC00009,P00009,Sanction Letter,2025-03-01,877000.0,Contractor_021,"Kolkata, West Bengal",,"Document for project P00009. Type: Sanction Letter. Amount: 877000.0. Contractor: Contractor_021. Location: Kolkata, West Bengal.",In Progress
DOC00010,P00010,Utilization Certificate,2026-02-11,2075000.0,Contractor_027,"Aurangabad, Maharashtra",,"Document for project P00010. Type: Utilization Certificate. Amount: 2075000.0. Contractor: Contractor_027. Location: Aurangabad, Maharashtra.",Completed
DOC00011,P00011,Completion Certificate,2024-06-21,435000.0,Contractor_009,"Krishna, Andhra Pradesh",,"Document for project P00011. Type: Completion Certificate. Amount: 435000.0. Contractor: Contractor_009. Location: Krishna, Andhra Pradesh.",In Progress
DOC00012,P00012,Inspection Report,2024-03-12,454000.0,Contractor_018,"Nizamabad, Telangana",,"Document for project P00012. Type: Inspection Report. Amount: 454000.0. Contractor: Contractor_018. Location: Nizamabad, Telangana.",Completed
DOC00013,P00013,Sanction Letter,2024-10-21,663000.0,Contractor_027,"Vadodara, Gujarat",,"Document for project P00013. Type: Sanction Letter. Amount: 663000.0. Contractor: Contractor_027. Location: Vadodara, Gujarat.",In Progress
DOC00014,P00014,Utilization Certificate,2025-02-06,638000.0,Contractor_019,"Visakhapatnam, Andhra Pradesh",,"Document for project P00014. Type: Utilization Certificate. Amount: 638000.0. Contractor: Contractor_019. Location: Visakhapatnam, Andhra Pradesh.",Delayed
DOC00015,P00015,Completion Certificate,2025-07-25,539000.0,Contractor_009,"Pune, Maharashtra",,"Document for project P00015. Type: Completion Certificate. Amount: 539000.0. Contractor: Contractor_009. Location: Pune, Maharashtra.",Completed
DOC00016,P00016,Inspection Report,2025-12-06,2034000.0,Contractor_032,"Kozhikode, Kerala",,"Document for project P00016. Type: Inspection Report. Amount: 2034000.0. Contractor: Contractor_032. Location: Kozhikode, Kerala.",In Progress
DOC00017,P00017,Sanction Letter,2026-04-23,2323000.0,Contractor_025,"Mysuru, Karnataka",,"Document for project P00017. Type: Sanction Letter. Amount: 2323000.0. Contractor: Contractor_025. Location: Mysuru, Karnataka.",Delayed
DOC00018,P00018,Utilization Certificate,2025-09-26,762000.0,Contractor_044,"Jaipur, Rajasthan",,"Document for project P00018. Type: Utilization Certificate. Amount: 762000.0. Contractor: Contractor_044. Location: Jaipur, Rajasthan.",In Progress
DOC00019,P00019,Completion Certificate,2024-09-20,3209000.0,Contractor_059,"Hyderabad, Telangana",,"Document for project P00019. Type: Completion Certificate. Amount: 3209000.0. Contractor: Contractor_059. Location: Hyderabad, Telangana.",Delayed
DOC00020,P00020,Inspection Report,2025-08-13,1303000.0,Contractor_005,"Belagavi, Karnataka",,"Document for project P00020. Type: Inspection Report. Amount: 1303000.0. Contractor: Contractor_005. Location: Belagavi, Karnataka.",In Progress
DOC00021,P00021,Sanction Letter,2025-02-19,1746000.0,Contractor_044,"Surat, Gujarat",,"Document for project P00021. Type: Sanction Letter. Amount: 1746000.0. Contractor: Contractor_044. Location: Surat, Gujarat.",In Progress
DOC00022,P00022,Utilization Certificate,2026-04-01,1373000.0,Contractor_016,"Howrah, West Bengal",,"Document for project P00022. Type: Utilization Certificate. Amount: 1373000.0. Contractor: Contractor_016. Location: Howrah, West Bengal.",In Progress
DOC00023,P00023,Completion Certificate,2025-03-27,2650000.0,Contractor_017,"Chennai, Tamil Nadu",,"Document for project P00023. Type: Completion Certificate. Amount: 2650000.0. Contractor: Contractor_017. Location: Chennai, Tamil Nadu.",Completed
DOC00024,P00024,Inspection Report,2024-07-20,4225000.0,Contractor_056,"Ernakulam, Kerala",,"Document for project P00024. Type: Inspection Report. Amount: 4225000.0. Contractor: Contractor_056. Location: Ernakulam, Kerala.",Completed
DOC00025,P00025,Sanction Letter,2024-05-20,230000.0,Contractor_031,"Rajkot, Gujarat",,"Document for project P00025. Type: Sanction Letter. Amount: 230000.0. Contractor: Contractor_031. Location: Rajkot, Gujarat.",In Progress
DOC00026,P00026,Utilization Certificate,2024-09-27,1462000.0,Contractor_057,"Jodhpur, Rajasthan",,"Document for project P00026. Type: Utilization Certificate. Amount: 1462000.0. Contractor: Contractor_057. Location: Jodhpur, Rajasthan.",Delayed
DOC00027,P00027,Completion Certificate,2024-11-13,1163000.0,Contractor_015,"Bengaluru Urban, Karnataka",,"Document for project P00027. Type: Completion Certificate. Amount: 1163000.0. Contractor: Contractor_015. Location: Bengaluru Urban, Karnataka.",Completed
DOC00028,P00028,Inspection Report,2025-10-24,755000.0,Contractor_042,"Aurangabad, Maharashtra",,"Document for project P00028. Type: Inspection Report. Amount: 755000.0. Contractor: Contractor_042. Location: Aurangabad, Maharashtra.",Delayed
DOC00029,P00029,Sanction Letter,2024-04-28,1365000.0,Contractor_015,"Mysuru, Karnataka",,"Document for project P00029. Type: Sanction Letter. Amount: 1365000.0. Contractor: Contractor_015. Location: Mysuru, Karnataka.",Completed
DOC00030,P00030,Utilization Certificate,2026-02-17,612000.0,Contractor_005,"Malda, West Bengal",,"Document for project P00030. Type: Utilization Certificate. Amount: 612000.0. Contractor: Contractor_005. Location: Malda, West Bengal.",In Progress
DOC00031,P00031,Completion Certificate,2024-06-21,1772000.0,Contractor_044,"Visakhapatnam, Andhra Pradesh",,"Document for project P00031. Type: Completion Certificate. Amount: 1772000.0. Contractor: Contractor_044. Location: Visakhapatnam, Andhra Pradesh.",Delayed
DOC00032,P00032,Inspection Report,2025-11-11,2678000.0,Contractor_011,"Rajkot, Gujarat",,"Document for project P00032. Type: Inspection Report. Amount: 2678000.0. Contractor: Contractor_011. Location: Rajkot, Gujarat.",In Progress
DOC00033,P00033,Sanction Letter,2025-05-01,1433000.0,Contractor_048,"Visakhapatnam, Andhra Pradesh",,"Document for project P00033. Type: Sanction Letter. Amount: 1433000.0. Contractor: Contractor_048. Location: Visakhapatnam, Andhra Pradesh.",In Progress
DOC00034,P00034,Utilization Certificate,2025-07-13,1142000.0,Contractor_032,"Kolkata, West Bengal",,"Document for project P00034. Type: Utilization Certificate. Amount: 1142000.0. Contractor: Contractor_032. Location: Kolkata, West Bengal.",In Progress
DOC00035,P00035,Completion Certificate,2024-05-05,2112000.0,Contractor_009,"Pune, Maharashtra",,"Document for project P00035. Type: Completion Certificate. Amount: 2112000.0. Contractor: Contractor_009. Location: Pune, Maharashtra.",In Progress
DOC00036,P00036,Inspection Report,2025-09-02,1745000.0,Contractor_006,"Sambalpur, Odisha",,"Document for project P00036. Type: Inspection Report. Amount: 1745000.0. Contractor: Contractor_006. Location: Sambalpur, Odisha.",Completed
DOC00037,P00037,Sanction Letter,2024-09-08,1061000.0,Contractor_042,"Malda, West Bengal",,"Document for project P00037. Type: Sanction Letter. Amount: 1061000.0. Contractor: Contractor_042. Location: Malda, West Bengal.",In Progress
DOC00038,P00038,Utilization Certificate,2024-03-31,1973000.0,Contractor_052,"Malda, West Bengal",,"Document for project P00038. Type: Utilization Certificate. Amount: 1973000.0. Contractor: Contractor_052. Location: Malda, West Bengal.",In Progress
DOC00039,P00039,Completion Certificate,2026-02-13,1271000.0,Contractor_015,"Jaipur, Rajasthan",,"Document for project P00039. Type: Completion Certificate. Amount: 1271000.0. Contractor: Contractor_015. Location: Jaipur, Rajasthan.",In Progress
DOC00040,P00040,Inspection Report,2026-02-27,2134000.0,Contractor_027,"Sambalpur, Odisha",,"Document for project P00040. Type: Inspection Report. Amount: 2134000.0. Contractor: Contractor_027. Location: Sambalpur, Odisha.",Completed
DOC00041,P00041,Sanction Letter,2024-06-13,1214000.0,Contractor_028,"Udaipur, Rajasthan",,"Document for project P00041. Type: Sanction Letter. Amount: 1214000.0. Contractor: Contractor_028. Location: Udaipur, Rajasthan.",Completed
DOC00042,P00042,Utilization Certificate,2024-03-18,970000.0,Contractor_033,"Chennai, Tamil Nadu",,"Document for project P00042. Type: Utilization Certificate. Amount: 970000.0. Contractor: Contractor_033. Location: Chennai, Tamil Nadu.",In Progress
DOC00043,P00043,Completion Certificate,2025-08-17,1450000.0,Contractor_057,"Madurai, Tamil Nadu",,"Document for project P00043. Type: Completion Certificate. Amount: 1450000.0. Contractor: Contractor_057. Location: Madurai, Tamil Nadu.",Delayed
DOC00044,P00044,Inspection Report,2024-12-29,793000.0,Contractor_018,"Warangal, Telangana",,"Document for project P00044. Type: Inspection Report. Amount: 793000.0. Contractor: Contractor_018. Location: Warangal, Telangana.",In Progress
DOC00045,P00045,Sanction Letter,2024-07-10,2684000.0,Contractor_012,"Coimbatore, Tamil Nadu",,"Document for project P00045. Type: Sanction Letter. Amount: 2684000.0. Contractor: Contractor_012. Location: Coimbatore, Tamil Nadu.",In Progress
DOC00046,P00046,Utilization Certificate,2024-11-02,1271000.0,Contractor_032,"Thrissur, Kerala",,"Document for project P00046. Type: Utilization Certificate. Amount: 1271000.0. Contractor: Contractor_032. Location: Thrissur, Kerala.",In Progress
DOC00047,P00047,Completion Certificate,2024-04-08,6132000.0,Contractor_055,"Nagpur, Maharashtra",,"Document for project P00047. Type: Completion Certificate. Amount: 6132000.0. Contractor: Contractor_055. Location: Nagpur, Maharashtra.",In Progress
DOC00048,P00048,Inspection Report,2025-12-29,372000.0,Contractor_026,"Salem, Tamil Nadu",,"Document for project P00048. Type: Inspection Report. Amount: 372000.0. Contractor: Contractor_026. Location: Salem, Tamil Nadu.",In Progress
DOC00049,P00049,Sanction Letter,2025-08-22,2076000.0,Contractor_056,"Darjeeling, West Bengal",,"Document for project P00049. Type: Sanction Letter. Amount: 2076000.0. Contractor: Contractor_056. Location: Darjeeling, West Bengal.",In Progress
DOC00050,P00050,Utilization Certificate,2025-12-14,3655000.0,Contractor_056,"Vadodara, Gujarat",,"Document for project P00050. Type: Utilization Certificate. Amount: 3655000.0. Contractor: Contractor_056. Location: Vadodara, Gujarat.",Completed
DOC00051,P00051,Completion Certificate,2026-02-10,1392500.0,Contractor_051,"Pune, Maharashtra",,"Document for project P00051. Type: Completion Certificate. Amount: 1392500.0. Contractor: Contractor_051. Location: Pune, Maharashtra.",In Progress
DOC00052,P00052,Inspection Report,2025-07-05,8459000.0,Contractor_032,"Udaipur, Rajasthan",,"Document for project P00052. Type: Inspection Report. Amount: 8459000.0. Contractor: Contractor_032. Location: Udaipur, Rajasthan.",In Progress
DOC00053,P00053,Sanction Letter,2025-03-05,1750000.0,Contractor_060,"Sambalpur, Odisha",,"Document for project P00053. Type: Sanction Letter. Amount: 1750000.0. Contractor: Contractor_060. Location: Sambalpur, Odisha.",In Progress
DOC00054,P00054,Utilization Certificate,2024-05-30,1248000.0,Contractor_025,"Ganjam, Odisha",,"Document for project P00054. Type: Utilization Certificate. Amount: 1248000.0. Contractor: Contractor_025. Location: Ganjam, Odisha.",In Progress
DOC00055,P00055,Completion Certificate,2025-06-22,2043000.0,Contractor_028,"Visakhapatnam, Andhra Pradesh",,"Document for project P00055. Type: Completion Certificate. Amount: 2043000.0. Contractor: Contractor_028. Location: Visakhapatnam, Andhra Pradesh.",Completed
DOC00056,P00056,Inspection Report,2025-09-14,1102000.0,Contractor_041,"Hyderabad, Telangana",,"Document for project P00056. Type: Inspection Report. Amount: 1102000.0. Contractor: Contractor_041. Location: Hyderabad, Telangana.",In Progress
DOC00057,P00057,Sanction Letter,2024-02-04,2567000.0,Contractor_014,"Hyderabad, Telangana",,"Document for project P00057. Type: Sanction Letter. Amount: 2567000.0. Contractor: Contractor_014. Location: Hyderabad, Telangana.",In Progress
DOC00058,P00058,Utilization Certificate,2026-02-24,1570000.0,Contractor_001,"Kollam, Kerala",,"Document for project P00058. Type: Utilization Certificate. Amount: 1570000.0. Contractor: Contractor_001. Location: Kollam, Kerala.",In Progress
DOC00059,P00059,Completion Certificate,2025-11-11,752000.0,Contractor_046,"Darjeeling, West Bengal",,"Document for project P00059. Type: Completion Certificate. Amount: 752000.0. Contractor: Contractor_046. Location: Darjeeling, West Bengal.",Completed
DOC00060,P00060,Inspection Report,2025-07-24,546000.0,Contractor_033,"Sambalpur, Odisha",,"Document for project P00060. Type: Inspection Report. Amount: 546000.0. Contractor: Contractor_033. Location: Sambalpur, Odisha.",Completed
DOC00061,P00061,Sanction Letter,2024-03-13,620000.0,Contractor_031,"Jaipur, Rajasthan",,"Document for project P00061. Type: Sanction Letter. Amount: 620000.0. Contractor: Contractor_031. Location: Jaipur, Rajasthan.",In Progress
DOC00062,P00062,Utilization Certificate,2025-05-20,2287000.0,Contractor_019,"Udaipur, Rajasthan",,"Document for project P00062. Type: Utilization Certificate. Amount: 2287000.0. Contractor: Contractor_019. Location: Udaipur, Rajasthan.",Delayed
DOC00063,P00063,Completion Certificate,2024-10-18,1208000.0,Contractor_054,"Vadodara, Gujarat",,"Document for project P00063. Type: Completion Certificate. Amount: 1208000.0. Contractor: Contractor_054. Location: Vadodara, Gujarat.",In Progress
DOC00064,P00064,Inspection Report,2025-09-22,1069000.0,Contractor_055,"Nashik, Maharashtra",,"Document for project P00064. Type: Inspection Report. Amount: 1069000.0. Contractor: Contractor_055. Location: Nashik, Maharashtra.",In Progress
DOC00065,P00065,Sanction Letter,2025-10-28,631000.0,Contractor_011,"Dharwad, Karnataka",,"Document for project P00065. Type: Sanction Letter. Amount: 631000.0. Contractor: Contractor_011. Location: Dharwad, Karnataka.",Completed
DOC00066,P00066,Utilization Certificate,2025-07-08,2216000.0,Contractor_035,"Pune, Maharashtra",,"Document for project P00066. Type: Utilization Certificate. Amount: 2216000.0. Contractor: Contractor_035. Location: Pune, Maharashtra.",In Progress
DOC00067,P00067,Completion Certificate,2025-03-14,1384000.0,Contractor_030,"Surat, Gujarat",,"Document for project P00067. Type: Completion Certificate. Amount: 1384000.0. Contractor: Contractor_030. Location: Surat, Gujarat.",In Progress
DOC00068,P00068,Inspection Report,2024-01-02,1441000.0,Contractor_029,"Mysuru, Karnataka",,"Document for project P00068. Type: Inspection Report. Amount: 1441000.0. Contractor: Contractor_029. Location: Mysuru, Karnataka.",In Progress
DOC00069,P00069,Sanction Letter,2024-10-01,1230000.0,Contractor_052,"Kozhikode, Kerala",,"Document for project P00069. Type: Sanction Letter. Amount: 1230000.0. Contractor: Contractor_052. Location: Kozhikode, Kerala.",In Progress
DOC00070,P00070,Utilization Certificate,2024-02-10,319000.0,Contractor_006,"Guntur, Andhra Pradesh",,"Document for project P00070. Type: Utilization Certificate. Amount: 319000.0. Contractor: Contractor_006. Location: Guntur, Andhra Pradesh.",In Progress
