inspection_id,project_id,inspection_date,inspection_score,inspection_status,remarks
INSP00001,P00001,2025-01-18,35,Failed,Work quality below expected standard
INSP00002,P00002,2025-07-11,85,Passed,Project inspection satisfactory
INSP00003,P00003,2026-02-08,85,Passed,Project inspection satisfactory
INSP00004,P00004,2025-02-13,85,Passed,Project inspection satisfactory
INSP00005,P00005,2025-11-25,85,Passed,Project inspection satisfactory
INSP00006,P00006,2025-02-04,85,Passed,Project inspection satisfactory
INSP00007,P00007,2024-09-25,85,Passed,Project inspection satisfactory
INSP00008,P00008,2025-04-28,85,Passed,Project inspection satisfactory
INSP00009,P00009,2025-03-11,85,Passed,Project inspection satisfactory
INSP00010,P00010,2026-02-21,85,Passed,Project inspection satisfactory
INSP00011,P00011,2024-07-01,85,Passed,Project inspection satisfactory
INSP00012,P00012,2024-03-22,85,Passed,Project inspection satisfactory
INSP00013,P00013,2024-10-31,85,Passed,Project inspection satisfactory
INSP00014,P00014,2025-02-16,85,Passed,Project inspection satisfactory
INSP00015,P00015,2025-08-04,85,Passed,Project inspection satisfactory
INSP00016,P00016,2025-12-16,85,Passed,Project inspection satisfactory
INSP00017,P00017,2026-05-03,85,Passed,Project inspection satisfactory
INSP00018,P00018,2025-10-06,85,Passed,Project inspection satisfactory
INSP00019,P00019,2024-09-30,85,Passed,Project inspection satisfactory
INSP00020,P00020,2025-08-23,85,Passed,Project inspection satisfactory
INSP00021,P00021,2025-03-01,85,Passed,Project inspection satisfactory
INSP00022,P00022,2026-04-11,85,Passed,Project inspection satisfactory
INSP00023,P00023,2025-04-06,85,Passed,Project inspection satisfactory
INSP00024,P00024,2024-07-30,85,Passed,Project inspection satisfactory
INSP00025,P00025,2024-05-30,85,Passed,Project inspection satisfactory
INSP00026,P00026,2024-10-07,85,Passed,Project inspection satisfactory
INSP00027,P00027,2024-11-23,85,Passed,Project inspection satisfactory
INSP00028,P00028,2025-11-03,85,Passed,Project inspection satisfactory
INSP00029,P00029,2024-05-08,85,Passed,Project inspection satisfactory
INSP00030,P00030,2026-02-27,85,Passed,Project inspection satisfactory
INSP00031,P00031,2024-07-01,85,Passed,Project inspection satisfactory
INSP00032,P00032,2025-11-21,85,Passed,Project inspection satisfactory
INSP00033,P00033,2025-05-11,85,Passed,Project inspection satisfactory
INSP00034,P00034,2025-07-23,85,Passed,Project inspection satisfactory
INSP00035,P00035,2024-05-15,85,Passed,Project inspection satisfactory
INSP00036,P00036,2025-09-12,85,Passed,Project inspection satisfactory
INSP00037,P00037,2024-09-18,85,Passed,Project inspection satisfactory
INSP00038,P00038,2024-04-10,85,Passed,Project inspection satisfactory
INSP00039,P00039,2026-02-23,85,Passed,Project inspection satisfactory
INSP00040,P00040,2026-03-09,85,Passed,Project inspection satisfactory
INSP00041,P00041,2024-06-23,85,Passed,Project inspection satisfactory
INSP00042,P00042,2024-03-28,85,Passed,Project inspection satisfactory
INSP00043,P00043,2025-08-27,85,Passed,Project inspection satisfactory
INSP00044,P00044,2025-01-08,85,Passed,Project inspection satisfactory
INSP00045,P00045,2024-07-20,85,Passed,Project inspection satisfactory
INSP00046,P00046,2024-11-12,35,Failed,Work quality below expected standard
INSP00047,P00047,2024-04-18,85,Passed,Project inspection satisfactory
INSP00048,P00048,2026-01-08,85,Passed,Project inspection satisfactory
INSP00049,P00049,2025-09-01,85,Passed,Project inspection satisfactory
INSP00050,P00050,2025-12-24,85,Passed,Project inspection satisfactory
INSP00051,P00051,2026-02-20,85,Passed,Project inspection satisfactory
INSP00052,P00052,2025-07-15,85,Passed,Project inspection satisfactory
INSP00053,P00053,2025-03-15,85,Passed,Project inspection satisfactory
INSP00054,P00054,2024-06-09,85,Passed,Project inspection satisfactory
INSP00055,P00055,2025-07-02,85,Passed,Project inspection satisfactory
INSP00056,P00056,2025-09-24,85,Passed,Project inspection satisfactory
INSP00057,P00057,2024-02-14,85,Passed,Project inspection satisfactory
INSP00058,P00058,2026-03-06,85,Passed,Project inspection satisfactory
INSP00059,P00059,2025-11-21,85,Passed,Project inspection satisfactory
INSP00060,P00060,2025-08-03,85,Passed,Project inspection satisfactory
INSP00061,P00061,2024-03-23,45,Needs Improvement,Physical progress requires verification
INSP00062,P00062,2025-05-30,85,Passed,Project inspection satisfactory
INSP00063,P00063,2024-10-28,85,Passed,Project inspection satisfactory
INSP00064,P00064,2025-10-02,85,Passed,Project inspection satisfactory
INSP00065,P00065,2025-11-07,85,Passed,Project inspection satisfactory
INSP00066,P00066,2025-07-18,85,Passed,Project inspection satisfactory
INSP00067,P00067,2025-03-24,85,Passed,Project inspection satisfactory
INSP00068,P00068,2024-01-12,85,Passed,Project inspection satisfactory
INSP00069,P00069,2024-10-11,85,Passed,Project inspection satisfactory
INSP00070,P00070,2024-02-20,85,Passed,Project inspection satisfactory
INSP00071,P00071,2026-01-02,85,Passed,Project inspection satisfactory
